ShowName,Attendance,NumPerformances,WeeksPerformed,GeniusID,AlbumTitle
Beauty And The Beast,7041346,5173,648,147328,Beauty and the Beast: The Broadway Musical (Original Broadway Cast Recording) by Original Broadway Cast of Beauty and the Beast
Miss Saigon,3229335,2337,292,148251,Miss Saigon (Original London Cast Recording) by Claude-Michel Schönberg
Show Boat,1049647,641,80,324436,Show Boat (1988 Studio Cast) by Various Artists
Sunset Boulevard,1109237,725,91,148384,Sunset Boulevard (1994 Los Angeles Cast) by Andrew Lloyd Webber
Cats,2290852,2008,251,148691,Cats: Original Cast Recording (1981 Original London Cast) by Original London Cast of Cats
How To Succeed In Business Without Really Trying,80162,64,8,336690,How to Succeed in Business Without Really Trying (2011 Broadway Cast Recording) by Frank Loesser
Kiss Of The Spider Woman,4537,8,1,471778,Kiss of the Spider Woman (Original Broadway Cast Recording) by John Kander
Les Miserables,3466401,2907,365,151176,Les Misérables: The Complete Symphonic Recording by Claude-Michel Schönberg
Company 95,3493,0,1,108412,Company (Original Broadway Cast) by Stephen Sondheim
Victor/Victoria,705199,526,69,337020,Victor/Victoria (1995 Original Broadway Cast) by Various Artists
"Hello, Dolly!",9049,0,1,336691,"Hello, Dolly! (Original Broadway Cast Recording) by Jerry Herman"
Grease,771640,858,107,309781,Grease Live! (Music From The Television Event) by Grease Live Cast
A Funny Thing Happened On The Way To The Forum,924216,715,94,160114,A Funny Thing Happened on the Way to the Forum (Original Broadway Cast) by Stephen Sondheim
Rent,4969873,5091,639,147991,Rent (Original Broadway Cast Recording) by Original Broadway Cast of Rent
The King And I 96,815079,728,91,411879,The King and I (The 2015 Broadway Cast Recording) by 2015 Broadway Cast of The King and I
The Phantom Of The Opera,11582362,8400,1053,326756,The Phantom of the Opera (Original London Cast Recording) by Andrew Lloyd Webber
Chicago,8123328,8202,1032,256564,Chicago: A Musical Vaudeville (Original Broadway Cast) by Original Broadway Cast of Chicago
Once Upon A Mattress,174914,188,28,393074,Once Upon a Mattress (1959 Original Broadway Cast Recording) by Original Broadway Cast of Once Upon a Mattress
Annie,253160,239,32,854025,Annie Get Your Gun (Broadway Original Cast Recording) (2000 Release) by Original Broadway Cast of Annie Get Your Gun
Jekyll & Hyde,1403224,1543,199,159798,Jekyll & Hyde: The Complete Work (1994 Concept Cast) by Frank Wildhorn
Steel Pier,120530,76,14,978603,The BandLab Recordings by Logan Hughes
Candide,146016,104,15,842615,Candide (Original Broadway Cast Recording) by Original Broadway Cast of Candide
Side Show,114189,91,16,327555,Side Show (Original Broadway Cast Recording) by Henry Krieger
Triumph Of Love,80669,85,15,980025,Triumph of Love (Original Broadway Cast Recording) by Original Broadway Cast of Triumph of Love
The Lion King,13207871,7803,980,123792,The Lion King (Original Broadway Cast Recording) by Original Broadway Cast of The Lion King
Ragtime,1432872,834,108,327563,Ragtime: The Musical (Original Broadway Cast Recording) by Original Broadway Cast of Ragtime: The Musical
The Sound Of Music,642006,533,72,325095,The Sound of Music (Original Soundtrack Recording) by Various Artists
Cabaret 98,1919198,2377,304,330512,Cabaret (Original Broadway Cast Recording) by Original Broadway Cast of Cabaret
Footloose,780117,709,91,333862,Footloose (Original Broadway Cast Recording) by Tom Snow
On The Town,143790,69,13,336961,On the Town (Studio Cast Recording (1960)) by Studio Cast of On the Town (1960)
Parade,104752,85,16,309904,Parade (Original Broadway Cast) by Jason Robert Brown
Peter Pan 98,310277,214,28,348980,Peter Pan (Original Cast Soundtrack) by Various Artists
"You'Re A Good Man, Charlie Brown",84237,149,21,155884,"You’re a Good Man, Charlie Brown (The New Broadway Cast Recording) by Clark Gesner"
Annie Get Your Gun,1415850,1045,135,854025,Annie Get Your Gun (Broadway Original Cast Recording) (2000 Release) by Original Broadway Cast of Annie Get Your Gun
Putting It Together,94783,101,17,618635,Sondheim: Putting It Together (Original Off-Broadway Cast Recording) by Stephen Sondheim
Swing!,529583,461,63,469611,Swing Time (An Original Soundtrack Recording) by Various Artists
Aida,2714193,1852,237,160958,Aida (Original Broadway Cast Recording) by Various Artists
Riverdance,890766,605,78,421409,Riverdale: Special Episode - Carrie the Musical (Original Television Soundtrack) by Riverdale Cast
The Wild Party,79170,68,14,333248,The Wild Party (Original Off-Broadway Cast Recording) by Andrew Lippa
Jesus Christ Superstar,250225,161,24,30467,Jesus Christ Superstar – A Rock Opera by Jesus Christ Superstar Original Studio Cast
The Music Man,745575,699,91,962667,The Music Man (The 2022 Broadway Cast Recording) by Meredith Willson
The Full Monty,764040,770,101,148666,The Full Monty (Original Broadway Cast Recording) by David Yazbek
The Rocky Horror Show,268017,437,59,674967,The Rocky Horror Show (Original 1974 Roxy Cast) by Richard O'Brien
Seussical,228686,198,29,159584,Seussical (Original Broadway Cast Recording) by Stephen Flaherty
Follies,128928,117,19,160749,Follies (Original Broadway Cast) by Original Broadway Cast of Follies
The Producers,3672795,2502,318,135357,The Producers (Original Broadway Cast Recording) by Various Artists
The Adventures Of Tom Sawyer,64852,21,7,387631,The Adventures of Tom Sawyer (Original 2001 Broadway Cast) by Original Broadway Cast of The Adventures of Tom Sawyer
42Nd Street '01,2199186,1509,193,348470,42nd Street - Original Broadway Cast Recording by Danny Carroll & 42nd Street Ensemble
Urinetown,524188,965,125,310061,Urinetown (Original Cast Recording) by Cast of Urinetown
Mamma Mia!,7566124,5758,725,428746,"Mamma Mia! Here We Go Again (Original Motion Picture Soundtrack) by Cast Of ""Mamma Mia! Here We Go Again"""
By Jeeves,35902,73,11,161265,By Jeeves (1996 London Revival Cast) by Andrew Lloyd Webber
Oklahoma!,549805,388,53,325402,Oklahoma! 75th Anniversary by The Original Broadway Cast of Oklahoma!
Sweet Smell Of Success,119972,109,17,660414,Sweet Smell of Success (Original Broadway Cast Recording) by Original Broadway Cast of Sweet Smell of Success
