ShowName,Attendance,NumPerformances,WeeksPerformed,GeniusID,AlbumTitle,UniquenessScore,TotalLyricCount
Beauty And The Beast,7041346,5173,648,147328,Beauty and the Beast: The Broadway Musical (Original Broadway Cast Recording) by Original Broadway Cast of Beauty and the Beast,57,6386
Miss Saigon,3229335,2337,292,148251,Miss Saigon (Original London Cast Recording) by Claude-Michel Schönberg,52,8683
Show Boat,1049647,641,80,324436,Show Boat (1988 Studio Cast) by Various Artists,43,247
Sunset Boulevard,1109237,725,91,148384,Sunset Boulevard (1994 Los Angeles Cast) by Andrew Lloyd Webber,58,10596
Cats,2290852,2008,251,148691,Cats: Original Cast Recording (1981 Original London Cast) by Original London Cast of Cats,47,7016
How To Succeed In Business Without Really Trying,80162,64,8,336690,How to Succeed in Business Without Really Trying (2011 Broadway Cast Recording) by Frank Loesser,57,4641
Kiss Of The Spider Woman,4537,8,1,471778,Kiss of the Spider Woman (Original Broadway Cast Recording) by John Kander,47,5143
Les Miserables,3466401,2907,365,151176,Les Misérables: The Complete Symphonic Recording by Claude-Michel Schönberg,51,14874
Company 95,3493,0,1,108412,Company (Original Broadway Cast) by Stephen Sondheim,41,5173
Victor/Victoria,705199,526,69,337020,Victor/Victoria (1995 Original Broadway Cast) by Various Artists,56,858
"Hello, Dolly!",9049,0,1,336691,"Hello, Dolly! (Original Broadway Cast Recording) by Jerry Herman",45,2926
Grease,771640,858,107,309781,Grease Live! (Music From The Television Event) by Grease Live Cast,43,4169
A Funny Thing Happened On The Way To The Forum,924216,715,94,160114,A Funny Thing Happened on the Way to the Forum (Original Broadway Cast) by Stephen Sondheim,51,3410
Rent,4969873,5091,639,147991,Rent (Original Broadway Cast Recording) by Original Broadway Cast of Rent,55,11976
The King And I 96,815079,728,91,411879,The King and I (The 2015 Broadway Cast Recording) by 2015 Broadway Cast of The King and I,44,4185
The Phantom Of The Opera,11582362,8400,1053,326756,The Phantom of the Opera (Original London Cast Recording) by Andrew Lloyd Webber,53,8693
Chicago,8123328,8202,1032,256564,Chicago: A Musical Vaudeville (Original Broadway Cast) by Original Broadway Cast of Chicago,48,5547
Once Upon A Mattress,174914,188,28,393074,Once Upon a Mattress (1959 Original Broadway Cast Recording) by Original Broadway Cast of Once Upon a Mattress,53,4054
Annie,253160,239,32,854025,Annie Get Your Gun (Broadway Original Cast Recording) (2000 Release) by Original Broadway Cast of Annie Get Your Gun,37,4233
Jekyll & Hyde,1403224,1543,199,159798,Jekyll & Hyde: The Complete Work (1994 Concept Cast) by Frank Wildhorn,53,9279
Steel Pier,120530,76,14,978603,The BandLab Recordings by Logan Hughes,49,3985
Candide,146016,104,15,842615,Candide (Original Broadway Cast Recording) by Original Broadway Cast of Candide,47,4226
Side Show,114189,91,16,327555,Side Show (Original Broadway Cast Recording) by Henry Krieger,53,6438
Triumph Of Love,80669,85,15,980025,Triumph of Love (Original Broadway Cast Recording) by Original Broadway Cast of Triumph of Love,64,194
The Lion King,13207871,7803,980,123792,The Lion King (Original Broadway Cast Recording) by Original Broadway Cast of The Lion King,38,4299
Ragtime,1432872,834,108,327563,Ragtime: The Musical (Original Broadway Cast Recording) by Original Broadway Cast of Ragtime: The Musical,51,11486
The Sound Of Music,642006,533,72,325095,The Sound of Music (Original Soundtrack Recording) by Various Artists,48,2999
Cabaret 98,1919198,2377,304,330512,Cabaret (Original Broadway Cast Recording) by Original Broadway Cast of Cabaret,47,4292
Footloose,780117,709,91,333862,Footloose (Original Broadway Cast Recording) by Tom Snow,47,5453
On The Town,143790,69,13,336961,On the Town (Studio Cast Recording (1960)) by Studio Cast of On the Town (1960),46,3530
Parade,104752,85,16,309904,Parade (Original Broadway Cast) by Jason Robert Brown,53,8091
Peter Pan 98,310277,214,28,348980,Peter Pan (Original Cast Soundtrack) by Various Artists,49,3503
"You'Re A Good Man, Charlie Brown",84237,149,21,155884,"You’re a Good Man, Charlie Brown (The New Broadway Cast Recording) by Clark Gesner",48,5326
Annie Get Your Gun,1415850,1045,135,854025,Annie Get Your Gun (Broadway Original Cast Recording) (2000 Release) by Original Broadway Cast of Annie Get Your Gun,37,4233
Putting It Together,94783,101,17,618635,Sondheim: Putting It Together (Original Off-Broadway Cast Recording) by Stephen Sondheim,53,2341
Swing!,529583,461,63,469611,Swing Time (An Original Soundtrack Recording) by Various Artists,54,312
Aida,2714193,1852,237,160958,Aida (Original Broadway Cast Recording) by Various Artists,57,4900
Riverdance,890766,605,78,421409,Riverdale: Special Episode - Carrie the Musical (Original Television Soundtrack) by Riverdale Cast,52,2415
The Wild Party,79170,68,14,333248,The Wild Party (Original Off-Broadway Cast Recording) by Andrew Lippa,47,6780
Jesus Christ Superstar,250225,161,24,30467,Jesus Christ Superstar – A Rock Opera by Jesus Christ Superstar Original Studio Cast,47,6391
The Music Man,745575,699,91,962667,The Music Man (The 2022 Broadway Cast Recording) by Meredith Willson,37,115
The Full Monty,764040,770,101,148666,The Full Monty (Original Broadway Cast Recording) by David Yazbek,43,490
The Rocky Horror Show,268017,437,59,674967,The Rocky Horror Show (Original 1974 Roxy Cast) by Richard O'Brien,52,1130
Seussical,228686,198,29,159584,Seussical (Original Broadway Cast Recording) by Stephen Flaherty,49,8202
Follies,128928,117,19,160749,Follies (Original Broadway Cast) by Original Broadway Cast of Follies,51,4742
The Producers,3672795,2502,318,135357,The Producers (Original Broadway Cast Recording) by Various Artists,52,6625
The Adventures Of Tom Sawyer,64852,21,7,387631,The Adventures of Tom Sawyer (Original 2001 Broadway Cast) by Original Broadway Cast of The Adventures of Tom Sawyer,56,4540
42Nd Street '01,2199186,1509,193,348470,42nd Street - Original Broadway Cast Recording by Danny Carroll & 42nd Street Ensemble,43,3005
Urinetown,524188,965,125,310061,Urinetown (Original Cast Recording) by Cast of Urinetown,45,7017
Mamma Mia!,7566124,5758,725,428746,"Mamma Mia! Here We Go Again (Original Motion Picture Soundtrack) by Cast Of ""Mamma Mia! Here We Go Again""",35,4934
By Jeeves,35902,73,11,161265,By Jeeves (1996 London Revival Cast) by Andrew Lloyd Webber,49,433
Oklahoma!,549805,388,53,325402,Oklahoma! 75th Anniversary by The Original Broadway Cast of Oklahoma!,48,4747
Sweet Smell Of Success,119972,109,17,660414,Sweet Smell of Success (Original Broadway Cast Recording) by Original Broadway Cast of Sweet Smell of Success,49,5454
Thoroughly Modern Millie,1193581,903,118,327545,Thoroughly Modern Millie (Original Broadway Cast Recording) by Original Broadway Cast of Thoroughly Modern Millie,52,4658
Into The Woods '02,233472,279,38,105979,Into the Woods (Original Broadway Cast Recording) by Original Broadway Cast of Into the Woods,48,8701
Hairspray,3418653,2642,336,309169,Hairspray Live! (NBC Television Event Original Soundtrack) by Original Television Cast of Hairspray Live!,46,7430
The Boys From Syracuse,68115,73,13,325136,"The Boys from Syracuse by Original Broadway Cast of ""Boys From Syracuse""",47,3467
Movin' Out,1436759,1303,167,228774,Movin’ Out by Glee Cast,43,1887
Man Of La Mancha 02,343317,304,41,328894,Man of La Mancha by Original Broadway Cast of Man of La Mancha,48,3270
Gypsy '03,549037,451,61,160748,Gypsy (Original Broadway Cast Recording) by Jule Styne,50,3755
Big River '03,60161,67,12,415388,Big River - The Adventures of Huckleberry Finn (1985 Original Broadway Cast Recording) by Roger Miller,35,4411
Avenue Q,1731068,2534,321,336684,Avenue Q (Original Broadway Cast Recording) by Various Artists,46,8102
Little Shop Of Horrors,350389,372,52,325072,Little Shop of Horrors (Original Cast Album) by Original Off-Broadway Cast of Little Shop of Horrors,54,4565
The Boy From Oz,524857,364,51,289902,The Boy from Oz (Original Broadway Cast Recording) by Peter Allen,44,4260
