Date.Full,Show.Name,Show.Type,Statistics.Attendance,Statistics.Performances
1/1/1995,Beauty And The Beast,Musical,14175,8
1/1/1995,Miss Saigon,Musical,13943,9
1/1/1995,Show Boat,Musical,15344,8
1/1/1995,Sunset Boulevard,Musical,11970,7
1/8/1995,Beauty And The Beast,Musical,13942,8
1/8/1995,Miss Saigon,Musical,13382,8
1/8/1995,Show Boat,Musical,14375,8
1/8/1995,Sunset Boulevard,Musical,13680,8
1/15/1995,Beauty And The Beast,Musical,14029,8
1/15/1995,Miss Saigon,Musical,13587,8
1/15/1995,Show Boat,Musical,14556,8
1/15/1995,Sunset Boulevard,Musical,13680,8
1/22/1995,Beauty And The Beast,Musical,13066,8
1/22/1995,Miss Saigon,Musical,13015,8
1/22/1995,Show Boat,Musical,14420,8
1/22/1995,Sunset Boulevard,Musical,11970,7
1/29/1995,Beauty And The Beast,Musical,12684,8
1/29/1995,Miss Saigon,Musical,13358,8
1/29/1995,Show Boat,Musical,14157,8
1/29/1995,Sunset Boulevard,Musical,13680,8
2/5/1995,Beauty And The Beast,Musical,11347,8
2/5/1995,Miss Saigon,Musical,12120,8
2/5/1995,Show Boat,Musical,13279,8
2/5/1995,Sunset Boulevard,Musical,13680,8
2/12/1995,Beauty And The Beast,Musical,13012,8
2/12/1995,Miss Saigon,Musical,11835,8
2/12/1995,Show Boat,Musical,13157,8
2/12/1995,Smokey Joe'S Cafe,Musical,5774,0
2/12/1995,Sunset Boulevard,Musical,13411,8
2/19/1995,Beauty And The Beast,Musical,13779,8
2/19/1995,Miss Saigon,Musical,12920,8
2/19/1995,Show Boat,Musical,14573,8
2/19/1995,Smokey Joe'S Cafe,Musical,7969,0
2/19/1995,Sunset Boulevard,Musical,13306,8
2/26/1995,Beauty And The Beast,Musical,14030,8
2/26/1995,Miss Saigon,Musical,13809,8
2/26/1995,Show Boat,Musical,15182,8
2/26/1995,Smokey Joe'S Cafe,Musical,9570,0
2/26/1995,Sunset Boulevard,Musical,13680,8
3/5/1995,Beauty And The Beast,Musical,13038,8
3/5/1995,Miss Saigon,Musical,12655,8
3/5/1995,Show Boat,Musical,13650,8
3/5/1995,Smokey Joe'S Cafe,Musical,8806,4
3/5/1995,Sunset Boulevard,Musical,13680,8
3/12/1995,Beauty And The Beast,Musical,12778,8
3/12/1995,Miss Saigon,Musical,12335,8
3/12/1995,Show Boat,Musical,14007,8
3/12/1995,Smokey Joe'S Cafe,Musical,7864,8
3/12/1995,Sunset Boulevard,Musical,12996,8
3/19/1995,Beauty And The Beast,Musical,13300,8
3/19/1995,Miss Saigon,Musical,13285,8
3/19/1995,Show Boat,Musical,14073,8
3/19/1995,Smokey Joe'S Cafe,Musical,7632,8
3/19/1995,Sunset Boulevard,Musical,13680,8
3/26/1995,Beauty And The Beast,Musical,12958,8
3/26/1995,Miss Saigon,Musical,13199,8
3/26/1995,Show Boat,Musical,14026,8
3/26/1995,Smokey Joe'S Cafe,Musical,6914,8
3/26/1995,Sunset Boulevard,Musical,13680,8
4/2/1995,Beauty And The Beast,Musical,12496,8
4/2/1995,Miss Saigon,Musical,12990,8
4/2/1995,Show Boat,Musical,14061,8
4/2/1995,Smokey Joe'S Cafe,Musical,6575,8
4/2/1995,Sunset Boulevard,Musical,13680,8
4/9/1995,Beauty And The Beast,Musical,12874,8
4/9/1995,Miss Saigon,Musical,12781,8
4/9/1995,Show Boat,Musical,14133,8
4/9/1995,Smokey Joe'S Cafe,Musical,6661,8
4/9/1995,Sunset Boulevard,Musical,13680,8
4/16/1995,Beauty And The Beast,Musical,13903,8
4/16/1995,Miss Saigon,Musical,13532,8
4/16/1995,Show Boat,Musical,14581,8
4/16/1995,Smokey Joe'S Cafe,Musical,6760,8
4/16/1995,Sunset Boulevard,Musical,13680,8
4/23/1995,Beauty And The Beast,Musical,13907,8
4/23/1995,Miss Saigon,Musical,13651,8
4/23/1995,Show Boat,Musical,15174,8
4/23/1995,Smokey Joe'S Cafe,Musical,8675,8
4/23/1995,Sunset Boulevard,Musical,13680,8
4/30/1995,Beauty And The Beast,Musical,13219,8
4/30/1995,Miss Saigon,Musical,13220,8
4/30/1995,Show Boat,Musical,14437,8
4/30/1995,Smokey Joe'S Cafe,Musical,7415,8
4/30/1995,Sunset Boulevard,Musical,13680,8
5/7/1995,Beauty And The Beast,Musical,13227,8
5/7/1995,Miss Saigon,Musical,12744,8
5/7/1995,Show Boat,Musical,14578,8
5/7/1995,Smokey Joe'S Cafe,Musical,7518,8
5/7/1995,Sunset Boulevard,Musical,13680,8
5/14/1995,Beauty And The Beast,Musical,12754,8
5/14/1995,Miss Saigon,Musical,11941,8
5/14/1995,Show Boat,Musical,14131,8
5/14/1995,Smokey Joe'S Cafe,Musical,8409,8
5/14/1995,Sunset Boulevard,Musical,13680,8
5/21/1995,Beauty And The Beast,Musical,13611,8
5/21/1995,Miss Saigon,Musical,12628,8
5/21/1995,Show Boat,Musical,15028,8
5/21/1995,Smokey Joe'S Cafe,Musical,8806,8
5/21/1995,Sunset Boulevard,Musical,13680,8
5/28/1995,Beauty And The Beast,Musical,13551,8
5/28/1995,Miss Saigon,Musical,13308,8
5/28/1995,Show Boat,Musical,15007,8
5/28/1995,Smokey Joe'S Cafe,Musical,9077,8
5/28/1995,Sunset Boulevard,Musical,13680,8
6/4/1995,Beauty And The Beast,Musical,12165,8
6/4/1995,Cats,Musical,8443,8
6/4/1995,Chronicle Of A Death Foretold,Musical,4973,0
6/4/1995,How To Succeed In Business Without Really Trying,Musical,8197,8
6/4/1995,Kiss Of The Spider Woman,Musical,4537,8
6/4/1995,Les Miserables,Musical,10327,8
6/4/1995,Miss Saigon,Musical,12408,8
6/4/1995,Show Boat,Musical,13890,8
6/4/1995,Smokey Joe'S Cafe,Musical,8595,8
6/4/1995,Sunset Boulevard,Musical,13680,8
6/4/1995,Tommy,Musical,6007,8
6/11/1995,Beauty And The Beast,Musical,12634,8
6/11/1995,Miss Saigon,Musical,12611,8
6/11/1995,Show Boat,Musical,14843,8
6/11/1995,Smokey Joe'S Cafe,Musical,9695,8
6/11/1995,Sunset Boulevard,Musical,13680,8
6/18/1995,Beauty And The Beast,Musical,13253,8
6/18/1995,Miss Saigon,Musical,12816,8
6/18/1995,Show Boat,Musical,15169,8
6/18/1995,Smokey Joe'S Cafe,Musical,9684,8
6/18/1995,Sunset Boulevard,Musical,13680,8
6/25/1995,Beauty And The Beast,Musical,13452,8
6/25/1995,Miss Saigon,Musical,12990,8
6/25/1995,Show Boat,Musical,15094,8
6/25/1995,Smokey Joe'S Cafe,Musical,9737,8
6/25/1995,Sunset Boulevard,Musical,13680,8
7/2/1995,Beauty And The Beast,Musical,13070,8
7/2/1995,Miss Saigon,Musical,12650,8
7/2/1995,Show Boat,Musical,14355,8
7/2/1995,Smokey Joe'S Cafe,Musical,9653,8
7/2/1995,Sunset Boulevard,Musical,13680,8
7/9/1995,Beauty And The Beast,Musical,12855,8
7/9/1995,Miss Saigon,Musical,12799,8
7/9/1995,Show Boat,Musical,13368,8
7/9/1995,Smokey Joe'S Cafe,Musical,8926,8
7/9/1995,Sunset Boulevard,Musical,11756,8
7/16/1995,Beauty And The Beast,Musical,12807,8
7/16/1995,Miss Saigon,Musical,12462,8
7/16/1995,Show Boat,Musical,13547,8
7/16/1995,Smokey Joe'S Cafe,Musical,9083,8
7/16/1995,Sunset Boulevard,Musical,12889,8
7/23/1995,Beauty And The Beast,Musical,13449,8
7/23/1995,Miss Saigon,Musical,13044,8
7/23/1995,Show Boat,Musical,13684,8
7/23/1995,Smokey Joe'S Cafe,Musical,9509,8
7/23/1995,Sunset Boulevard,Musical,12545,8
7/30/1995,Beauty And The Beast,Musical,13733,8
7/30/1995,Miss Saigon,Musical,13272,8
7/30/1995,Show Boat,Musical,13612,8
7/30/1995,Smokey Joe'S Cafe,Musical,9337,8
7/30/1995,Sunset Boulevard,Musical,12770,8
8/6/1995,Beauty And The Beast,Musical,13282,8
8/6/1995,Miss Saigon,Musical,12383,8
8/6/1995,Show Boat,Musical,12766,8
