ShowName,Attendance,NumPerformances,WeeksPerformed
Beauty And The Beast,7041346,5173,648
Miss Saigon,3229335,2337,292
Show Boat,1049647,641,80
Sunset Boulevard,1109237,725,91
Smokey Joe'S Cafe,1904856,2036,258
Cats,2290852,2008,251
Chronicle Of A Death Foretold,4973,0,1
How To Succeed In Business Without Really Trying,80162,64,8
Kiss Of The Spider Woman,4537,8,1
Les Miserables,3466401,2907,365
Tommy,6007,8,1
Company 95,3493,0,1
Victor/Victoria,705199,526,69
"Hello, Dolly!",9049,0,1
Grease,771640,858,107
A Funny Thing Happened On The Way To The Forum,924216,715,94
Big,229895,193,27
"Bring In Da Noise, Bring In Da Funk",1118863,1135,144
Rent,4969873,5091,639
State Fair,18481,40,5
The King And I 96,815079,728,91
The Phantom Of The Opera,11582362,8400,1053
Chicago,8123328,8202,1032
Juan Darien,44121,49,9
Once Upon A Mattress,174914,188,28
Play On!,61278,61,10
Annie,253160,239,32
Dream: The Johnny Mercer Musical,84598,109,17
Jekyll & Hyde,1403224,1543,199
Steel Pier,120530,76,14
Titanic,1065828,804,105
The Life,384256,466,61
Candide,146016,104,15
1776,341257,325,44
Side Show,114189,91,16
Triumph Of Love,80669,85,15
The Scarlet Pimpernel,924543,772,103
The Lion King,13207871,7803,980
Street Corner Symphony,64792,79,14
The Capeman,152983,68,17
Ragtime,1432872,834,108
The Sound Of Music,642006,533,72
Cabaret 98,1919198,2377,304
High Society,168193,144,22
An Evening With Jerry Herman,11345,28,6
Swan Lake,141151,124,18
Footloose,780117,709,91
Little Me,64069,99,18
On The Town,143790,69,13
Parade,104752,85,16
Peter Pan 98,310277,214,28
Fosse,1121921,1093,140
"You'Re A Good Man, Charlie Brown",84237,149,21
Annie Get Your Gun,1415850,1045,135
Band In Berlin,10438,17,5
The Civil War,81971,61,12
Marlene,21342,25,5
The Gershwins' Fascinating Rhythm,26455,17,6
It Ain'T Nothin' But The Blues,170092,284,37
Kat And The Kings,94995,157,22
Saturday Night Fever,680429,501,66
"Kiss Me, Kate",1056908,882,114
Marie Christine,69819,42,11
Putting It Together,94783,101,17
Swing!,529583,461,63
Tango Argentino '99,54402,63,9
James Joyce'S The Dead,91086,120,18
Squonk,13579,32,7
Aida,2714193,1852,237
Contact,931293,1010,131
Riverdance,890766,605,78
The Wild Party,79170,68,14
Jesus Christ Superstar,250225,161,24
The Green Bird,37182,56,10
The Music Man,745575,699,91
The Full Monty,764040,770,101
The Rocky Horror Show,268017,437,59
Seussical,228686,198,29
Jane Eyre,168879,209,31
A Class Act,68094,105,17
Follies,128928,117,19
Bells Are Ringing,71017,68,13
The Producers,3672795,2502,318
The Adventures Of Tom Sawyer,64852,21,7
Blast!,203655,180,25
42Nd Street '01,2199186,1509,193
Urinetown,524188,965,125
Thou Shalt Not,85740,85,15
Mamma Mia!,7566124,5758,725
By Jeeves,35902,73,11
Elaine Stritch At Liberty,84481,69,16
Oklahoma!,549805,388,53
One Mo' Time,13080,21,5
Sweet Smell Of Success,119972,109,17
Thoroughly Modern Millie,1193581,903,118
Into The Woods '02,233472,279,38
Hairspray,3418653,2642,336
The Boys From Syracuse,68115,73,13
Amour,29103,17,7
Flower Drum Song,173290,169,25
Movin' Out,1436759,1303,167
Dance Of The Vampires,156118,56,15
Man Of La Mancha 02,343317,304,41
La Bohème,284906,228,31
Urban Cowboy,23533,60,12
Nine,302226,283,39
A Year With Frog And Toad,40267,73,11
Gypsy '03,549037,451,61
The Look Of Love,59883,49,11
Big River '03,60161,67,12
Avenue Q,1731068,2534,321
Little Shop Of Horrors,350389,372,52
The Boy From Oz,524857,364,51
Wicked,9524462,5335,669
Jackie Mason'S Laughing Room Only,21844,14,6
Never Gonna Dance,101949,84,16
Taboo,70160,100,15
Wonderful Town,449677,497,65
Fiddler On The Roof 04,959006,781,103
Assassins,106080,101,16
Bombay Dreams,366843,284,40
"Caroline, Or Change",120494,136,20
The Frogs,117040,92,16
Forever Tango '04,47838,114,15
"Dracula, The Musical",106028,157,23
Brooklyn,196826,284,40
La Cage Aux Folles '04,275385,229,33
Pacific Overtures,71420,69,12
Little Women,153439,137,24
Good Vibrations,90770,94,18
Dirty Rotten Scoundrels,808025,627,83
All Shook Up,298652,213,32
Monty Python'S Spamalot,2075781,1575,202
The Light In The Piazza,420433,504,68
Chitty Chitty Bang Bang,426915,285,41
Sweet Charity 05,300014,279,38
The 25Th Annual Putnam County Spelling Bee,672139,1136,145
Lennon,54449,49,12
In My Life,32307,61,11
Jersey Boys,4971699,4466,565
Sweeney Todd 05,302836,349,48
The Woman In White,152490,109,17
The Color Purple,1369564,910,119
Chita Rivera: The Dancer'S Life,57822,72,13
The Pajama Game,120528,129,22
Ring Of Fire,50623,57,12
Lestat,80434,39,10
Tarzan,580903,486,68
The Threepenny Opera,98279,77,14
The Wedding Singer,301613,285,40
The Drowsy Chaperone,865975,674,89
Hot Feet,76824,97,14
Martin Short: Fame Becomes Me,143480,165,24
Kiki & Herb: Alive On Broadway,9520,27,5
A Chorus Line '06,674359,759,97
The Times They Are A-Changin',50023,28,8
Grey Gardens,234344,307,43
Mary Poppins,3878444,2619,334
Dr. Seuss' How The Grinch Stole Christmas!,189320,107,11
Les Miserables 2006,465661,463,61
Company 06,179752,246,35
Spring Awakening,767167,859,112
High Fidelity,20022,14,4
The Apple Tree,87752,99,15
Curtains,582455,511,68
The Pirate Queen,149476,85,15
